Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Beast In Black,Berserker,/album/264059/Beast-In-Black-Berserker/,12,3.875,3.707620272,-0.167,2.565614086,2.57 - 4.5,733,83,"Toondude10 (74.0%), Thiagao (7.7%), ckssr1 (6.6%), BleedIntoTheAbyss (4.5%), hernan91 (1.6%)"
Japandroids,Near To The Wild Heart Of Life,/album/242097/Japandroids-Near-To-The-Wild-Heart-Of-Life/,142,3.012676056,2.90778047,-0.105,2.564014621,2.56 - 3.24,734,1182,"Trebor. (3.9%), SowingSeason (3.6%), klap (3.0%), BigHans (2.8%), Athom (2.5%)"
Dopelord,Children of the Haze,/album/242536/Dopelord-Children-of-the-Haze/,35,3.357142857,3.245756486,-0.111,2.563475403,2.56 - 3.85,735,937,"SCREAM%21 (9.7%), Metalstyles (9.5%), PsychicChris (8.6%), rockandmetaljunkie (6.6%), Evok (5.3%)"
Aridia,Dereliction,/album/245774/Aridia-Dereliction/,13,3.846153846,3.660753719,-0.185,2.561911923,2.56 - 4.45,736,109,"Shamus248 (36.1%), Sniff (29.8%), LiftASail (7.6%), JoshThompson (7.4%), Elynna (5.1%)"
The Bug vs. Earth,Concrete Desert,/album/245680/The-Bug-and-Earth-Concrete-Desert/,15,3.5,3.587380683,0.087,2.561634438,2.56 - 4.36,737,718,"Thor (20.6%), emester (13.6%), Sniff (11.1%), Dewinged (10.4%), RoundOnEndHiInMiddle (10.3%)"
Big Walnuts Yonder,Big Walnuts Yonder,/album/251404/Big-Walnuts-Yonder-Big-Walnuts-Yonder/,16,3.65625,3.555499208,-0.101,2.561051482,2.56 - 4.32,738,441,"Papa+Universe (26.2%), Tyler. (15.5%), Dewinged (14.1%), larrytheslug (13.8%), elephantREVOLUTION (8.7%)"
Tomb Mold,Primordial Malignity,/album/243639/Tomb-Mold-Primordial-Malignity/,23,3.47826087,3.395933069,-0.082,2.560513772,2.56 - 4.09,739,771,"Jacquibim (14.7%), Archelirion (13.0%), Bloon (9.8%), ShadowRemains (9.7%), zaruyache (8.4%)"
Yung Lean,Stranger,/album/262829/Yung-Lean-Stranger/,42,3.19047619,3.184796708,-0.006,2.560142566,2.56 - 3.75,740,1089,"jtswope (10.0%), Conmaniac (10.0%), Ryus (8.0%), TVC15 (7.6%), TheSpaceMan (7.0%)"
Kadavar (DE),Rough Times,/album/259201/Kadavar-DE-Rough-Times/,15,3.666666667,3.58474308,-0.082,2.558931509,2.56 - 4.36,741,407,"Anthracks (26.0%), RippingCorpse1986 (18.9%), L4titudes (17.0%), YankeeDudel (11.5%), masterofreality (10.3%)"
Satyricon,Deep Calleth Upon Deep,/album/257391/Satyricon-Deep-Calleth-Upon-Deep/,53,3.469811321,3.115183015,-0.355,2.557307868,2.56 - 3.63,742,785,"Willie (16.6%), Chamberbelain (10.0%), zaruyache (8.0%), Dewinged (6.3%), BlackwaterPork (5.7%)"
The Drowned God,Moonbearer,/album/242003/The-Drowned-God-Moonbearer/,18,3.527777778,3.49519572,-0.033,2.555281169,2.56 - 4.24,743,681,"Calc (15.7%), Papa+Universe (14.3%), Archelirion (13.6%), Sniff (8.7%), Dewinged (7.8%)"
Galactic Empire,Galactic Empire,/album/243941/Galactic-Empire-Galactic-Empire/,18,3.472222222,3.494285484,0.022,2.554348825,2.55 - 4.24,744,780,"peartnoy (27.1%), brettgoespunk (22.3%), Dmax28 (18.7%), Kalopsia (7.5%), AdoreSwancore (4.4%)"
Stella Donnelly,Thrush Metal,/album/249603/Stella-Donnelly-Thrush-Metal/,15,3.733333333,3.577716651,-0.156,2.551736263,2.55 - 4.35,745,278,"Conmaniac (14.4%), verdant (10.9%), danielcardoso (9.7%), Sniff (9.3%), Chortles (9.1%)"
Nadia Reid,Preservation,/album/247026/Nadia-Reid-Preservation/,14,3.5,3.612285673,0.112,2.551715731,2.55 - 4.39,746,718,"Trebor. (23.0%), Atari (17.1%), DoofusWainwright (14.4%), Gyromania (12.3%), Dewinged (7.0%)"
Noel Gallagher's High Flying Birds,Who Built the Moon?,/album/263628/Noel-Gallaghers-High-Flying-Birds-Who-Built-the-Moon/,61,3.250819672,3.071644838,-0.179,2.550668484,2.55 - 3.56,747,1028,"Rowan5215 (11.6%), DoofusWainwright (10.4%), Arcade (9.4%), ZackSh33 (5.2%), ArtBox (5.2%)"
Diet Cig,Swear I'm Good At This,/album/242193/Diet-Cig-I-Swear-Im-Good-At-This/,48,3.208333333,3.133493019,-0.075,2.547888879,2.55 - 3.67,748,1074,"klap (9.9%), Hep+Kat (8.9%), Conmaniac (7.6%), Archelirion (6.9%), ianblxdsoe (4.9%)"
Lo!,Vestigial,/album/259160/Lo%21-Vestigial/,12,3.708333333,3.68990982,-0.018,2.547517942,2.55 - 4.49,749,332,"insomniac15 (25.9%), linguist2011 (22.4%), hesperus (12.1%), clavier (11.2%), JAV (11.2%)"
Flogging Molly,Life Is Good,/album/250022/Flogging-Molly-Life-Is-Good/,28,3.292857143,3.307439847,0.015,2.547201185,2.55 - 3.96,750,997,"Atari (16.5%), Divaman (12.0%), Toondude10 (11.3%), bungy (8.8%), KrazyKris (7.5%)"
Ryan Adams,Prisoner,/album/241221/Ryan-Adams-Prisoner/,66,3.340909091,3.048518375,-0.292,2.547184565,2.55 - 3.52,751,956,"klap (10.6%), DoofusWainwright (8.4%), Irving (7.4%), jtswope (6.8%), theBoneyKing (4.5%)"
Primus,The Desaturating Seven,/album/258497/Primus-The-Desaturating-Seven/,73,3.290410959,3.024163565,-0.266,2.546973595,2.55 - 3.47,752,998,"Willie (6.4%), DrGonzo1937 (5.4%), insomniac15 (5.3%), linguist2011 (5.1%), discovolante (4.9%)"
Origin,Unparalleled Universe,/album/254443/Origin-Unparalleled-Universe/,39,3.5,3.193248824,-0.307,2.545472273,2.55 - 3.77,753,718,"Willie (13.5%), linguist2011 (10.7%), Jacquibim (10.2%), Thor (9.7%), Anthracks (6.4%)"
The New Pornographers,Whiteout Conditions,/album/243471/The-New-Pornographers-Whiteout-Conditions/,38,3.263157895,3.20062994,-0.063,2.544633428,2.54 - 3.79,754,1022,"SowingSeason (11.1%), klap (9.3%), DoofusWainwright (7.5%), butcherboy (7.4%), Papa+Universe (7.3%)"
Rings of Saturn,Ultu Ulla,/album/254467/Rings-of-Saturn-Ultu-Ulla/,116,3.125,2.924002771,-0.201,2.543970885,2.54 - 3.29,755,1135,"Ovrot (4.1%), Shamus248 (4.0%), Bloon (3.6%), ianblxdsoe (3.4%), AnimalsAsSummit (3.2%)"
Horn,Turm am Hang,/album/237278/Horn-Turm-am-Hang/,18,3.638888889,3.483243311,-0.156,2.543047896,2.54 - 4.23,756,468,"linguist2011 (16.5%), manosg (13.6%), Xenorazr (12.9%), Bloon (9.8%), L4titudes (8.9%)"
Kitsune,Uninvited,/album/248105/Kitsune-Uninvited/,13,3.576923077,3.642232179,0.065,2.542977074,2.54 - 4.44,757,591,"Calc (26.2%), Sniff (12.8%), ashcrash9 (12.7%), gotsthedewsdood (12.1%), hesperus (12.0%)"
King Gizzard and the Lizard Wizard,Gumboot Soup,/album/272228/King-Gizzard-and-The-Lizard-Wizard-Gumboot-Soup/,21,3.714285714,3.415968213,-0.298,2.542818405,2.54 - 4.13,758,315,"butcherboy (18.8%), Papa+Universe (17.8%), JJKeys (11.0%), cryptologous (10.6%), ashcrash9 (9.9%)"
Animal Collective,The Painters,/album/244906/Animal-Collective-The-Painters/,66,3.068181818,3.042741775,-0.025,2.54133647,2.54 - 3.51,759,1159,"Frippertronics (7.1%), DoofusWainwright (6.3%), Ryus (4.6%), wtferrothorn (4.5%), emester (4.0%)"
Frightened Rabbit,Recorded Songs,/album/262218/Frightened-Rabbit-Recorded-Songs/,19,3.473684211,3.45542375,-0.018,2.539224111,2.54 - 4.19,760,778,"Ignimbrite (13.8%), Sinternet (12.1%), anatelier (8.8%), hesperus (8.6%), AdolfChrist (8.6%)"
Throane,Plus Une Main A Mordre,/album/265926/Throane-Plus-Une-Main-A-Mordre/,13,3.730769231,3.636237339,-0.095,2.536860246,2.54 - 4.43,761,284,"linguist2011 (28.5%), Evok (13.8%), Relinquished (13.3%), hesperus (11.8%), Nazzadan (6.7%)"
Benjamin Booker,Witness,/album/250035/Benjamin-Booker-Witness/,17,3.323529412,3.500175791,0.177,2.533634866,2.53 - 4.26,762,973,"East+Hastings (19.3%), MUNGOLOID (18.2%), aaronrkc (15.3%), NickelbackFTL (13.2%), NickLizard49 (11.7%)"
Nightrage,The Venomous,/album/240757/Nightrage-The-Venomous/,16,3.53125,3.525522464,-0.006,2.530388843,2.53 - 4.29,763,671,"Snide (36.9%), RippingCorpse1986 (18.3%), Sunnyvale (11.5%), InFlamesWeThrash666 (7.7%), Thuckabe (4.7%)"
Rex Orange County,Apricot Princess,/album/254270/Rex-Orange-County-Apricot-Princess/,10,3.7,3.77802971,0.078,2.52996423,2.53 - 4.6,764,340,"aaronrkc (36.1%), NickelbackFTL (31.1%), ellagos (9.8%), runaways (8.2%), Thuckabe (6.3%)"
Arch Echo,Arch Echo,/album/253362/Arch-Echo-Arch-Echo/,13,3.5,3.629356516,0.129,2.529846475,2.53 - 4.43,765,718,"Poet (29.7%), bgillesp (15.0%), BlazinBlitzer (10.8%), TundraL5Z (9.7%), Panzerchrist (7.4%)"
Starset,Vessels,/album/239833/Starset-Vessels/,106,3.297169811,2.92501492,-0.372,2.52757989,2.53 - 3.31,766,995,"Willie (6.3%), pizzamachine (6.0%), Ponton (4.8%), Metalstyles (4.5%), Divaman (4.4%)"
The Cranberries,Something Else,/album/251390/The-Cranberries-Something-Else/,13,3.461538462,3.626890885,0.165,2.527335038,2.53 - 4.43,767,796,"Willie (30.9%), Divaman (21.9%), VaxXi (13.1%), Dewinged (12.0%), KManoc1 (6.3%)"
Tim Bowness,Lost in the Ghost Light,/album/243057/Tim-Bowness-Lost-in-the-Ghost-Light/,16,3.46875,3.521702892,0.053,2.526491478,2.53 - 4.29,768,786,"insomniac15 (19.7%), Papa+Universe (17.0%), TalonsOfFire (16.4%), JJKeys (10.7%), eloimayano (6.6%)"
Com Truise,Iteration,/album/250032/Com-Truise-Iteration/,30,3.183333333,3.261607054,0.078,2.525845258,2.53 - 3.9,769,1096,"Papa+Universe (14.9%), Lord%28e%29Po%29%29%29ts (12.0%), RivalSkoomaDealer (10.5%), SweeneyTodd (6.6%), BradleyLayne (6.5%)"
Obituary,Obituary,/album/242115/Obituary-Obituary/,81,3.222222222,2.979432001,-0.243,2.525757383,2.53 - 3.41,770,1061,"Willie (7.7%), linguist2011 (6.1%), Xenophanes (5.6%), Xenorazr (4.9%), Inveigh (4.6%)"
Circle,Terminal,/album/255473/Circle-Terminal/,13,3.461538462,3.62530097,0.164,2.525716098,2.53 - 4.42,771,796,"Willie (29.2%), linguist2011 (23.1%), Snowdog808 (13.5%), porcupinetheater (10.9%), YankeeDudel (9.3%)"
Soup (NO),Remedies,/album/254364/Soup-NO-Remedies/,14,3.678571429,3.585743403,-0.093,2.524618192,2.52 - 4.38,772,388,"DoofusWainwright (20.6%), Papa+Universe (18.4%), zaruyache (12.4%), Sniff (10.7%), Snowdog808 (9.8%)"
Raekwon,The Wild,/album/242249/Raekwon-The-Wild/,29,3.137931034,3.269999494,0.132,2.522042572,2.52 - 3.92,773,1126,"Storm+In+A+Teacup (16.4%), Inveigh (9.5%), ianblxdsoe (9.2%), Sniff (7.1%), StarlessCore (6.9%)"
Hallas,Excerpts From a Future Past,/album/259225/Hallas-Excerpts-From-a-Future-Past/,9,3.755555556,3.834033676,0.078,2.52018147,2.52 - 4.66,774,237,"manosg (30.9%), Papa+Universe (30.9%), bgillesp (12.0%), Sunnyvale (8.5%), Agonba (5.1%)"
Wolfbrigade,Run With The Hunted,/album/250462/Wolfbrigade-Run-With-The-Hunted/,23,3.5,3.356427467,-0.144,2.520162382,2.52 - 4.06,775,718,"linguist2011 (19.8%), zaruyache (10.6%), Anthracks (9.8%), Sniff (9.1%), betray (8.3%)"
Natalia Lafourcade,Musas,/album/252352/Natalia-Lafourcade-Musas/,14,3.642857143,3.581305778,-0.062,2.520098412,2.52 - 4.37,776,460,"Xenophanes (27.0%), Archelirion (26.8%), East+Hastings (13.7%), BradleyLayne (12.4%), adr (12.0%)"
Steve Lacy (USA-CA),Steve Lacy's Demo,/album/236515/Steve-Lacy-USA-CA-Steve-Lacys-Demo/,17,3.647058824,3.486698802,-0.16,2.519884114,2.52 - 4.25,777,453,"wtferrothorn (32.5%), aaronrkc (14.4%), xfearbefore (12.4%), NickelbackFTL (12.3%), luckdaboss (4.2%)"
Succumb,Succumb,/album/246588/Succumb-Succumb/,45,3.255555556,3.123671785,-0.132,2.518973295,2.52 - 3.68,778,1025,"Hawks (9.9%), Jacquibim (7.9%), Papa+Universe (7.1%), JohnnyOnTheSpot (6.9%), jtswope (6.8%)"
Nyn,Entropy: Of Chaos and Salt,/album/259417/Nyn-Entropy-Of-Chaos-and-Salt/,7,3.857142857,4.005353394,0.148,2.518289634,2.52 - 4.82,779,98,"Anthracks (30.7%), Dmax28 (21.6%), brainmelter (21.4%), Panzerchrist (9.1%), ZombieParty (7.8%)"
The Dream Syndicate,How Did I Find Myself Here?,/album/261325/The-Dream-Syndicate-How-Did-I-Find-Myself-Here/,13,3.615384615,3.617895492,0.003,2.518180713,2.52 - 4.42,780,515,"Frippertronics (20.2%), DoofusWainwright (17.5%), Papa+Universe (16.8%), SandwichBubble (9.7%), zakalwe (9.4%)"
Radiator Hospital,Play The Songs You Like,/album/265511/Radiator-Hospital-Play-The-Songs-You-Like/,19,3.552631579,3.434365585,-0.118,2.517732476,2.52 - 4.17,781,637,"Conmaniac (25.7%), FreddieDelaney31 (13.0%), BlushfulHippocrene (11.1%), NickelbackFTL (8.9%), SnakeDelilah (8.1%)"
Ghost Spirit,Ghost Spirit,/album/246712/Ghost-Spirit-Ghost-Spirit/,16,3.5625,3.512831025,-0.05,2.517447241,2.52 - 4.28,782,615,"Papa+Universe (16.9%), YakNips (16.7%), jtswope (16.1%), Mort. (12.9%), hesperus (8.6%)"
Fuoco Fatuo,Backwater,/album/249284/Fuoco-Fatuo-Backwater/,14,3.678571429,3.578310258,-0.1,2.517049157,2.52 - 4.37,783,388,"linguist2011 (24.0%), Wizard (20.3%), Sniff (13.3%), Relinquished (12.6%), RoundOnEndHiInMiddle (10.4%)"
Fire From The Gods,Narrative Retold,/album/254068/Fire-From-The-Gods-Narrative-Retold/,12,3.708333333,3.659862849,-0.048,2.516934415,2.52 - 4.47,784,332,"ZachNyeScienceGuy (31.4%), LeftyMcRighty (21.8%), ajcollins15 (17.9%), SquidPunk (8.4%), itsyaboicobby (8.1%)"
Thomas Dybdahl,The Great Plains,/album/245969/Thomas-Dybdahl-The-Great-Plains/,16,3.54375,3.512017024,-0.032,2.516618006,2.52 - 4.28,785,653,"insomniac15 (23.7%), jtswope (17.1%), ShadowRemains (14.9%), Sinternet (14.9%), ChoccyPhilly (12.3%)"
The Clientele,Music for the Age of Miracles,/album/255276/The-Clientele-Music-for-the-Age-of-Miracles/,14,3.571428571,3.577322834,0.006,2.516044324,2.52 - 4.37,786,599,"klap (29.1%), DoofusWainwright (23.5%), SandwichBubble (12.3%), Pheromone (10.1%), Yotimi (8.3%)"
Cut Copy,Haiku From Zero,/album/262088/Cut-Copy-Haiku-From-Zero/,20,3.54,3.410371225,-0.13,2.515985974,2.52 - 4.14,787,658,"klap (23.2%), Divaman (16.4%), Anthracks (10.9%), elephantREVOLUTION (7.7%), LethalPaintball (6.8%)"
Angel Vivaldi,Synapse,/album/264263/Angel-Vivaldi-Synapse/,34,3.588235294,3.208016413,-0.38,2.515244322,2.52 - 3.82,788,568,"AtomicWaste (17.7%), Xenorazr (16.7%), pjquinones747 (8.0%), BradleyLayne (7.2%), Dmax28 (7.1%)"
Lights,Skin and Earth,/album/260282/Lights-Skin-and-Earth/,50,3.35,3.089246385,-0.261,2.51471389,2.51 - 3.62,789,946,"BallsToTheWall (17.1%), Green+Baron (10.4%), Divaman (7.9%), theacademy (7.6%), Jasdevi087 (7.0%)"
Zack Villere,Little World,/album/255065/Zack-Villere-Little-World/,15,3.6,3.539451802,-0.061,2.5126841,2.51 - 4.32,790,542,"DoofusWainwright (17.3%), Conmaniac (15.6%), wtferrothorn (12.7%), SandwichBubble (9.6%), VaxXi (9.5%)"
Cherry Glazerr,Apocalipstick,/album/242075/Cherry-Glazerr-Apocalipstick/,27,3.407407407,3.285870956,-0.122,2.511530673,2.51 - 3.95,791,872,"DoofusWainwright (14.9%), Papa+Universe (13.5%), jtswope (12.6%), Sinternet (9.6%), Anthracks (8.5%)"
Black Magick SS,Kaleidoscope Dreams,/album/254067/Black-Magick-SS-Kaleidoscope-Dreams/,11,3.727272727,3.703420731,-0.024,2.511420963,2.51 - 4.53,792,290,"TheSpirit (24.9%), YakNips (15.2%), XfingTheSullen (12.4%), TVC15 (12.3%), Ovrot (11.3%)"
Billy Corgan,Ogilala,/album/262888/Billy-Corgan-Ogilala/,40,3.3425,3.150327159,-0.192,2.50991305,2.51 - 3.73,793,955,"SowingSeason (15.3%), DoofusWainwright (9.9%), Jasdevi087 (8.7%), neekafat (7.4%), LepreCon (5.5%)"
Temples,Volcano,/album/236993/Temples-Volcano/,52,3.126923077,3.071978524,-0.055,2.50824646,2.51 - 3.59,794,1133,"SowingSeason (11.8%), klap (9.8%), JamieTwort (7.5%), Papa+Universe (7.2%), jtswope (6.4%)"
Hoops,Routines,/album/244962/Hoops-Routines/,23,3.404347826,3.344533025,-0.06,2.50805261,2.51 - 4.05,795,880,"klap (15.1%), DoofusWainwright (12.2%), Conmaniac (11.7%), scissorlocked (7.0%), ZackSh33 (6.3%)"
Day Wave,The Days We Had,/album/252095/Day-Wave-The-Days-We-Had/,16,3.53125,3.503594455,-0.028,2.508043536,2.51 - 4.28,796,671,"RoundOnEndHiInMiddle (17.5%), East+Hastings (16.3%), SnakeDelilah (13.4%), sncold (10.8%), JesperL (9.5%)"
Hallatar,No Stars Upon the Bridge,/album/263044/Hallatar-No-Stars-Upon-the-Bridge/,15,3.8,3.533633652,-0.266,2.506765627,2.51 - 4.32,797,166,"Willie (24.6%), linguist2011 (18.9%), DarkNoctus (14.6%), BlackwaterPork (10.0%), EvoHavok (8.6%)"
Blaze Bayley,Endure And Survive (Infinite Entanglement Part II),/album/241539/Blaze-Bayley-Endure-And-Survive-Infinite-Entanglement-Part-II/,8,3.875,3.898422647,0.023,2.506483564,2.51 - 4.73,798,83,"manosg (29.3%), Snowdog808 (23.5%), PsychicChris (22.5%), wakeupdead (16.6%), MaidenFan24 (5.2%)"
SeeYouSpaceCowboy...,Fashion Statements of the Socially Aware,/album/255272/SeeYouSpaceCowboy...-Fashion-Statements-of-the-Socially-Aware/,21,3.547619048,3.380150644,-0.167,2.506291139,2.51 - 4.1,799,647,"Mort. (12.7%), Sinternet (10.0%), Iamthe+Nightstars (9.4%), SandwichBubble (9.2%), MarsKid (8.6%)"
God Dethroned,The World Ablaze,/album/251058/God-Dethroned-The-World-Ablaze/,16,3.59375,3.501787974,-0.092,2.506205833,2.51 - 4.27,800,559,"linguist2011 (25.9%), Madbutcher3 (21.6%), VikkiH (11.4%), Hellscythe (10.2%), Thibs (8.5%)"
Conor Oberst,Salutations,/album/242666/Conor-Oberst-Salutations/,22,3.340909091,3.359669365,0.019,2.505087721,2.51 - 4.07,801,956,"SowingSeason (33.9%), Wildcatforever (13.9%), Veldin (9.7%), BradleyLayne (8.2%), furpa (5.0%)"
Petal,Comfort,/album/263987/Petal-Comfort/,10,3.6,3.751773892,0.152,2.503428489,2.5 - 4.58,802,542,"NoSons (37.5%), SnakeDelilah (15.3%), suppatime (14.3%), ellagos (8.6%), Monsterpoptart (8.0%)"
Wolf and Bear,Everything Is Going Grey,/album/263955/Wolf-and-Bear-Everything-Is-Going-Grey/,26,3.480769231,3.291860734,-0.189,2.503186944,2.5 - 3.97,803,767,"TheSpirit (24.7%), Calc (17.2%), Mort. (12.2%), East+Hastings (7.2%), elephantREVOLUTION (5.8%)"
Phinehas,Dark Flag,/album/268091/Phinehas-Dark-Flag/,35,3.508571429,3.185882943,-0.323,2.50257247,2.5 - 3.8,804,708,"Willie (27.6%), sspedding (11.6%), pjquinones747 (8.3%), BlackMalachite (8.2%), NorwichScene (8.2%)"
Accept,The Rise of Chaos,/album/252664/Accept-The-Rise-of-Chaos/,39,3.135897436,3.150859066,0.015,2.502434832,2.5 - 3.74,805,1127,"Nagrarok (14.2%), Papa+Universe (13.3%), manosg (10.5%), TheNotrap (9.0%), PsychicChris (8.0%)"
Mutemath,Play Dead,/album/261307/Mutemath-Play-Dead/,31,3.564516129,3.225452655,-0.339,2.500845265,2.5 - 3.86,806,614,"Willie (15.7%), Papa+Universe (11.5%), Divaman (11.3%), Toondude10 (10.1%), Dewinged (6.1%)"
Greywind,Afterthoughts,/album/244007/Greywind-Afterthoughts/,15,3.44,3.527298806,0.087,2.500327325,2.5 - 4.31,807,827,"SowingSeason (20.4%), Willie (18.4%), Divaman (13.1%), TheGreatQ (7.6%), Dewinged (7.3%)"
Impetuous Ritual,Blight Upon Martyred Sentience,/album/250082/Impetuous-Ritual-Blight-Upon-Martyred-Sentience/,31,3.138709677,3.220999465,0.082,2.496327689,2.5 - 3.86,808,1125,"TheSpirit (10.1%), Hawks (8.6%), linguist2011 (7.2%), Xenophanes (6.6%), Jacquibim (6.5%)"
Steffi,World of the Waking State,/album/262977/Steffi-World-of-the-Waking-State/,10,3.75,3.743885229,-0.006,2.495478603,2.5 - 4.58,809,244,"Lucid (18.3%), Sniff (18.2%), Relinquished (14.1%), TheManMachine (12.1%), Yotimi (11.8%)"
Lana Del Rey,Lust For Life,/album/249797/Lana-Del-Rey-Lust-For-Life/,205,2.976097561,2.781864126,-0.194,2.494912012,2.49 - 3.06,5,14,"SowingSeason (3.7%), klap (3.1%), Hep+Kat (2.8%), DrGonzo1937 (2.8%), discovolante (2.5%)"
Scour,Red,/album/267219/Scour-Red/,14,3.571428571,3.556342634,-0.015,2.494729657,2.49 - 4.35,810,599,"linguist2011 (37.2%), Stereochrome1 (12.4%), BradleyLayne (12.3%), engleprunt (9.2%), SoilPethSymmetry (9.0%)"
The Haunted,Strength in Numbers,/album/255576/The-Haunted-Strength-in-Numbers/,17,3.611764706,3.461689535,-0.15,2.494436143,2.49 - 4.23,811,521,"Willie (28.4%), south_of_heaven+11 (20.6%), Madbutcher3 (18.1%), Ebola (11.0%), karagiannis1908 (3.7%)"
Prurient,Rainbow Mirror,/album/268320/Prurient-Rainbow-Mirror/,28,3.214285714,3.254235278,0.04,2.493058648,2.49 - 3.91,812,1069,"Frippertronics (15.3%), Xenophanes (13.8%), Jasdevi087 (11.7%), jtswope (11.2%), TVC15 (10.0%)"
T-Pain and Lil Wayne,T-Wayne,/album/253197/T-Pain-and-Lil-Wayne-T-Wayne/,19,3.105263158,3.409787483,0.305,2.492725918,2.49 - 4.15,813,1148,"TVC15 (16.6%), RivalSkoomaDealer (15.4%), Sinternet (13.9%), rufinthefury (13.5%), Drifter (9.2%)"
Colter Wall,Colter Wall,/album/252684/Colter-Wall-Colter-Wall/,11,3.909090909,3.681827635,-0.227,2.489595019,2.49 - 4.51,814,46,"theBoneyKing (24.8%), East+Hastings (23.8%), NickelbackFTL (17.6%), YankeeDudel (11.3%), nukethewhale (9.9%)"
Washed Out,Mister Mellow,/album/254954/Washed-Out-Mister-Mellow/,50,3.37,3.061833038,-0.308,2.486998798,2.49 - 3.59,815,920,"DoofusWainwright (9.7%), Irving (9.1%), JamieTwort (8.5%), Anthracks (5.4%), hesperus (4.4%)"
Lucy Rose,Something's Changing,/album/256976/Lucy-Rose-Somethings-Changing/,13,3.653846154,3.586717155,-0.067,2.486550244,2.49 - 4.4,816,446,"Jasdevi087 (36.3%), East+Hastings (17.9%), NorthernSkylark (14.1%), BlazinBlitzer (8.7%), Brandon (4.9%)"
Brother Ali,All The Beauty In This Whole Life,/album/248020/Brother-Ali-All-The-Beauty-In-This-Whole-Life/,22,3.681818182,3.341129409,-0.341,2.486252233,2.49 - 4.06,817,382,"jtswope (25.8%), BradleyLayne (9.8%), Stereochrome1 (8.4%), TheManMachine (8.0%), anobsoletevernacular (7.2%)"
Powerflo,Powerflo,/album/254646/Powerflo-Powerflo/,8,3.8125,3.877411935,0.065,2.485529781,2.49 - 4.72,818,149,"DatsNotDaMetulz (65.3%), Enzx (18.3%), smiders (6.6%), Lalka (4.3%), Yusuf (3.1%)"
Teen Daze,Themes for a New Earth,/album/268824/Teen-Daze-Themes-for-a-New-Earth/,22,3.386363636,3.339905921,-0.046,2.485010804,2.49 - 4.05,819,899,"SowingSeason (20.6%), DoofusWainwright (13.9%), Papa+Universe (13.4%), Conmaniac (13.2%), scissorlocked (8.0%)"
Laster,Ons Vrije Fatum,/album/241352/Laster-Ons-Vrije-Fatum/,19,3.447368421,3.401279034,-0.046,2.484088447,2.48 - 4.15,820,820,"TheSpirit (17.2%), linguist2011 (13.4%), Xenorazr (10.2%), ComeToDaddy (8.1%), zaruyache (7.3%)"
